main | t (second),main | E1 (J_per_m2),main | g (m_per_s2),main | M1 (Js2_per_m2),main | omega (radian_per_s),main | q1 (metre),main | q1' (metre/second),main | r0 (metre),main | R1 (Js_per_m2),main | theta (radian),main | theta' (radian/second),main | v1 (m_per_s),main | v1' (m_per_s/second),main | v2 (m_per_s),main | v2' (m_per_s/second)
0,200,9.81,100,-0.139506,5.34975,5.38972,1,0.1,0.275502,-0.139506,5.38972,-1.14125,-0.885826,-1.91672
0.01,200,9.81,100,-0.141309,5.40359,5.37781,1,0.1,0.274098,-0.141309,5.37781,-1.24089,-0.904886,-1.89542
0.02,200,9.81,100,-0.143053,5.4573,5.3649,1,0.1,0.272676,-0.143053,5.3649,-1.34026,-0.923736,-1.87446
0.03,200,9.81,100,-0.144739,5.51088,5.35101,1,0.1,0.271237,-0.144739,5.35101,-1.43936,-0.942377,-1.85383
0.04,200,9.81,100,-0.146369,5.56432,5.33612,1,0.1,0.269781,-0.146369,5.33612,-1.53817,-0.960814,-1.83353
0.05,200,9.81,100,-0.147946,5.6176,5.32024,1,0.1,0.26831,-0.147946,5.32024,-1.63667,-0.979049,-1.81354
0.06,200,9.81,100,-0.149472,5.67072,5.30339,1,0.1,0.266823,-0.149472,5.30339,-1.73484,-0.997086,-1.79387
0.07,200,9.81,100,-0.150949,5.72366,5.28555,1,0.1,0.265321,-0.150949,5.28555,-1.83267,-1.01493,-1.77452
0.08,200,9.81,100,-0.152378,5.77642,5.26673,1,0.1,0.263804,-0.152378,5.26673,-1.93015,-1.03258,-1.75547
0.09,200,9.81,100,-0.153762,5.82899,5.24695,1,0.1,0.262273,-0.153762,5.24695,-2.02725,-1.05004,-1.73672
0.1,200,9.81,100,-0.155102,5.88136,5.22619,1,0.1,0.260729,-0.155102,5.22619,-2.12396,-1.06731,-1.71828
0.11,200,9.81,100,-0.1564,5.93351,5.20447,1,0.1,0.259171,-0.1564,5.20447,-2.22026,-1.0844,-1.70012
0.12,200,9.81,100,-0.157659,5.98545,5.18179,1,0.1,0.257601,-0.157659,5.18179,-2.31613,-1.10132,-1.68225
0.13,200,9.81,100,-0.158878,6.03715,5.15815,1,0.1,0.256018,-0.158878,5.15815,-2.41157,-1.11805,-1.66467
0.14,200,9.81,100,-0.160061,6.08861,5.13356,1,0.1,0.254423,-0.160061,5.13356,-2.50654,-1.13461,-1.64737
0.15,200,9.81,100,-0.161208,6.13982,5.10802,1,0.1,0.252817,-0.161208,5.10802,-2.60103,-1.151,-1.63034
0.16,200,9.81,100,-0.162322,6.19076,5.08154,1,0.1,0.251199,-0.162322,5.08154,-2.69503,-1.16722,-1.61359
0.17,200,9.81,100,-0.163403,6.24144,5.05412,1,0.1,0.249571,-0.163403,5.05412,-2.78852,-1.18327,-1.5971
0.18,200,9.81,100,-0.164452,6.29184,5.02577,1,0.1,0.247931,-0.164452,5.02577,-2.88148,-1.19916,-1.58087
0.19,200,9.81,100,-0.165472,6.34196,4.99649,1,0.1,0.246282,-0.165472,4.99649,-2.97389,-1.21489,-1.56489
0.2,200,9.81,100,-0.166463,6.39177,4.96629,1,0.1,0.244622,-0.166463,4.96629,-3.06573,-1.23046,-1.54917
0.21,200,9.81,100,-0.167427,6.44128,4.93518,1,0.1,0.242953,-0.167427,4.93518,-3.157,-1.24587,-1.5337
0.22,200,9.81,100,-0.168365,6.49047,4.90316,1,0.1,0.241274,-0.168365,4.90316,-3.24767,-1.26113,-1.51848
0.23,200,9.81,100,-0.169278,6.53934,4.87023,1,0.1,0.239585,-0.169278,4.87023,-3.33772,-1.27624,-1.50349
0.24,200,9.81,100,-0.170167,6.58787,4.8364,1,0.1,0.237888,-0.170167,4.8364,-3.42713,-1.2912,-1.48874
0.25,200,9.81,100,-0.171033,6.63606,4.80169,1,0.1,0.236182,-0.171033,4.80169,-3.5159,-1.30602,-1.47422
0.26,200,9.81,100,-0.171877,6.6839,4.76609,1,0.1,0.234468,-0.171877,4.76609,-3.60399,-1.32069,-1.45993
0.27,200,9.81,100,-0.172701,6.73138,4.72961,1,0.1,0.232745,-0.172701,4.72961,-3.69141,-1.33522,-1.44586
0.28,200,9.81,100,-0.173505,6.77849,4.69226,1,0.1,0.231014,-0.173505,4.69226,-3.77812,-1.34961,-1.43201
0.29,200,9.81,100,-0.17429,6.82522,4.65405,1,0.1,0.229275,-0.17429,4.65405,-3.86411,-1.36386,-1.41838
0.3,200,9.81,100,-0.175057,6.87157,4.61498,1,0.1,0.227528,-0.175057,4.61498,-3.94936,-1.37798,-1.40495
0.31,200,9.81,100,-0.175807,6.91752,4.57507,1,0.1,0.225774,-0.175807,4.57507,-4.03387,-1.39196,-1.39174
0.32,200,9.81,100,-0.176541,6.96307,4.53431,1,0.1,0.224012,-0.176541,4.53431,-4.1176,-1.40581,-1.37873
0.33,200,9.81,100,-0.17726,7.00821,4.49272,1,0.1,0.222243,-0.17726,4.49272,-4.20055,-1.41953,-1.36592
0.34,200,9.81,100,-0.177964,7.05292,4.4503,1,0.1,0.220467,-0.177964,4.4503,-4.28269,-1.43313,-1.35331
0.35,200,9.81,100,-0.178654,7.09721,4.40707,1,0.1,0.218684,-0.178654,4.40707,-4.36402,-1.4466,-1.34089
0.36,200,9.81,100,-0.179332,7.14106,4.36302,1,0.1,0.216894,-0.179332,4.36302,-4.44451,-1.45995,-1.32866
0.37,200,9.81,100,-0.179996,7.18447,4.31818,1,0.1,0.215097,-0.179996,4.31818,-4.52415,-1.47318,-1.31661
0.38,200,9.81,100,-0.18065,7.22742,4.27254,1,0.1,0.213294,-0.18065,4.27254,-4.60292,-1.48628,-1.30475
0.39,200,9.81,100,-0.181292,7.26991,4.22612,1,0.1,0.211484,-0.181292,4.22612,-4.68081,-1.49927,-1.29307
0.4,200,9.81,100,-0.181924,7.31194,4.17893,1,0.1,0.209668,-0.181924,4.17893,-4.7578,-1.51214,-1.28156
0.41,200,9.81,100,-0.182547,7.35349,4.13097,1,0.1,0.207846,-0.182547,4.13097,-4.83388,-1.5249,-1.27022
0.42,200,9.81,100,-0.18316,7.39456,4.08225,1,0.1,0.206017,-0.18316,4.08225,-4.90903,-1.53755,-1.25906
0.43,200,9.81,100,-0.183765,7.43513,4.03279,1,0.1,0.204182,-0.183765,4.03279,-4.98323,-1.55008,-1.24805
0.44,200,9.81,100,-0.184362,7.47521,3.98259,1,0.1,0.202342,-0.184362,3.98259,-5.05647,-1.56251,-1.23722
0.45,200,9.81,100,-0.184952,7.51478,3.93167,1,0.1,0.200495,-0.184952,3.93167,-5.12874,-1.57483,-1.22654
0.46,200,9.81,100,-0.185536,7.55384,3.88002,1,0.1,0.198643,-0.185536,3.88002,-5.20002,-1.58704,-1.21601
0.47,200,9.81,100,-0.186113,7.59238,3.82767,1,0.1,0.196785,-0.186113,3.82767,-5.2703,-1.59915,-1.20564
0.48,200,9.81,100,-0.186684,7.63039,3.77462,1,0.1,0.194921,-0.186684,3.77462,-5.33956,-1.61116,-1.19543
0.49,200,9.81,100,-0.18725,7.66787,3.72088,1,0.1,0.193051,-0.18725,3.72088,-5.40778,-1.62306,-1.18535
0.5,200,9.81,100,-0.187811,7.70481,3.66647,1,0.1,0.191176,-0.187811,3.66647,-5.47496,-1.63486,-1.17543
0.51,200,9.81,100,-0.188369,7.7412,3.61138,1,0.1,0.189295,-0.188369,3.61138,-5.54108,-1.64657,-1.16564
0.52,200,9.81,100,-0.188922,7.77703,3.55565,1,0.1,0.187408,-0.188922,3.55565,-5.60613,-1.65818,-1.15599
